En_Fed,Cent_Just,Period,Tot_Cent,Tot_Mujer,Pareja,Expareja,Novio,Novia,Padre,Madre,Abuelo,Abuela,Pariente distinto a la pareja,Amigo,Amiga,Desconocido,Maestro/Autoridad escolar M,Maestra/Autoridad escolar F,Compa_esc_M,Comp_esc_F,Jefe,Jefa,Comp_trab_F,Comp_trab_M,Servidora_pub,Servidor_pub,Otro(s)1,No especificado
 Chihuahua,"Juárez,Chihuahua",Al 30 de junio de 2021,1,  3 008,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  3 008
CDMX,"Azcapotzalco,Ciudad de México",2019,1,  11 334,  1 795,469,133,3,78,58,4,2,  1 253,10,1,5,0,0,7,1,10,2,6,14,0,1,  7 482,0
CDMX,"Azcapotzalco,Ciudad de México",2020,1,  8 497,  1 440,991,93,2,81,38,2,1,  1 077,4,6,8,1,0,0,1,17,2,13,1,0,0,  4 719,0
CDMX,"Azcapotzalco,Ciudad de México",Al 30 de junio de 2021,1,  3 571,526,370,37,0,24,16,0,0,458,6,1,2,0,0,2,0,0,0,0,12,0,0,  2 117,0
CDMX,"Iztapalapa,Ciudad de México",2019,1,  13 561,  2 090,  1 071,0,108,63,45,1,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,  10 152
CDMX,"Iztapalapa,Ciudad de México",2020,1,  9 750,  1 662,  1 350,0,57,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  6 677
CDMX,"Iztapalapa,Ciudad de México",Al 30 de junio de 2021,1,  1 993,734,501,0,34,29,22,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,669
CDMX,"Tlalpan,Ciudad de México",2019,1,  4 223,  1 004,550,178,2,138,350,2,18,150,120,3,7,0,0,10,2,20,0,0,8,0,0,0,  1 661
CDMX,"Tlalpan,Ciudad de México",2020,1,  4 876,  1 895,306,180,0,196,374,7,13,600,30,20,50,8,0,18,4,50,7,0,30,0,0,0,  1 088
CDMX,"Tlalpan,Ciudad de México",Al 30 de junio de 2021,1,  3 022,  1 031,412,268,3,56,112,0,4,138,2,0,0,0,0,0,0,25,8,6,66,0,0,0,891
 Durango,"Durango,Durango",2019,1,  3 808,  2 094,  1 250,45,2,121,94,75,82,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Durango,"Durango,Durango",2020,1,  3 377,  1 752,841,52,1,109,90,72,69,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
 Durango,"Durango,Durango",Al 30 de junio de 2021,1,  1 924,934,521,20,0,42,21,19,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336
 Guanajuato,"Irapuato,Guanajuato",2019,1,  5 566,  2 625,  1 417,530,0,111,0,14,0,454,0,0,3,0,0,4,0,4,0,0,1,0,0,403,0
 Guanajuato,"Irapuato,Guanajuato",2020,1,  6 441,  3 030,  1 458,496,0,151,0,9,0,594,0,0,3,1,0,0,0,5,0,0,3,0,0,691,0
 Guanajuato,"Irapuato,Guanajuato",Al 30 de junio de 2021,1,  3 615,  1 418,865,286,0,124,0,5,0,353,0,0,0,0,0,1,0,2,0,0,2,0,0,559,0
 Guerrero,"Chilpancingo de los Bravo,Guerrero",2019,1,  2 018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  2 018
 Guerrero,"Chilpancingo de los Bravo,Guerrero",2020,1,  1 585,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  1 585
